Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,DLF,35366,FUTSTK,XX,-1,DLF LIMITED,DLF SEP FUT,DLF26SEP24F,2024-09-26,825,0.05
NFO,nse_fo,DRREDDY,35370,FUTSTK,XX,-1,DR. REDDY S LABORATORIES,DRREDDY SEP FUT,DRREDDY26SEP24F,2024-09-26,125,0.05
NFO,nse_fo,EICHERMOT,35371,FUTSTK,XX,-1,EICHER MOTORS LTD,EICHERMOT SEP FUT,EICHERMOT26SEP24F,2024-09-26,175,0.05
NFO,nse_fo,NIFTY,35382,FUTIDX,XX,-1,NIFTY,NIFTY OCT FUT,NIFTY31OCT24F,2024-10-31,25,0.05
NFO,nse_fo,AARTIIND,35383,FUTSTK,XX,-1,AARTI INDUSTRIES LTD,AARTIIND OCT FUT,AARTIIND31OCT24F,2024-10-31,1000,0.05
NFO,nse_fo,ABB,35384,FUTSTK,XX,-1,ABB INDIA LIMITED,ABB OCT FUT,ABB31OCT24F,2024-10-31,125,0.05
NFO,nse_fo,ESCORTS,35385,FUTSTK,XX,-1,ESCORTS KUBOTA LIMITED,ESCORTS SEP FUT,ESCORTS26SEP24F,2024-09-26,275,0.05
NFO,nse_fo,ABBOTINDIA,35386,FUTSTK,XX,-1,ABBOTT INDIA LIMITED,ABBOTINDIA OCT FUT,ABBOTINDIA31OCT24F,2024-10-31,20,0.05
NFO,nse_fo,EXIDEIND,35388,FUTSTK,XX,-1,EXIDE INDUSTRIES LTD,EXIDEIND SEP FUT,EXIDEIND26SEP24F,2024-09-26,1800,0.05
NFO,nse_fo,FEDERALBNK,35398,FUTSTK,XX,-1,FEDERAL BANK LTD,FEDERALBNK SEP FUT,FEDERALBNK26SEP24F,2024-09-26,5000,0.01
NFO,nse_fo,NIFTY,35415,FUTIDX,XX,-1,NIFTY,NIFTY AUG FUT,NIFTY29AUG24F,2024-08-29,25,0.05
NFO,nse_fo,AARTIIND,35426,FUTSTK,XX,-1,AARTI INDUSTRIES LTD,AARTIIND AUG FUT,AARTIIND29AUG24F,2024-08-29,1000,0.05
NFO,nse_fo,ABCAPITAL,35437,FUTSTK,XX,-1,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL OCT FUT,ABCAPITAL31OCT24F,2024-10-31,5400,0.01
NFO,nse_fo,ABFRL,35438,FUTSTK,XX,-1,ADITYA BIRLA FASHION & RT,ABFRL OCT FUT,ABFRL31OCT24F,2024-10-31,2600,0.05
NFO,nse_fo,ACC,35439,FUTSTK,XX,-1,ACC LIMITED,ACC OCT FUT,ACC31OCT24F,2024-10-31,300,0.05
NFO,nse_fo,ADANIENT,35442,FUTSTK,XX,-1,ADANI ENTERPRISES LIMITED,ADANIENT OCT FUT,ADANIENT31OCT24F,2024-10-31,300,0.05
NFO,nse_fo,ABB,35479,FUTSTK,XX,-1,ABB INDIA LIMITED,ABB AUG FUT,ABB29AUG24F,2024-08-29,125,0.05
NFO,nse_fo,ABBOTINDIA,35480,FUTSTK,XX,-1,ABBOTT INDIA LIMITED,ABBOTINDIA AUG FUT,ABBOTINDIA29AUG24F,2024-08-29,20,0.05
NFO,nse_fo,ABCAPITAL,35513,FUTSTK,XX,-1,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL AUG FUT,ABCAPITAL29AUG24F,2024-08-29,5400,0.01
NFO,nse_fo,ABFRL,35516,FUTSTK,XX,-1,ADITYA BIRLA FASHION & RT,ABFRL AUG FUT,ABFRL29AUG24F,2024-08-29,2600,0.05
NFO,nse_fo,ACC,35517,FUTSTK,XX,-1,ACC LIMITED,ACC AUG FUT,ACC29AUG24F,2024-08-29,300,0.05
NFO,nse_fo,ADANIENT,35522,FUTSTK,XX,-1,ADANI ENTERPRISES LIMITED,ADANIENT AUG FUT,ADANIENT29AUG24F,2024-08-29,300,0.05
NFO,nse_fo,GAIL,35523,FUTSTK,XX,-1,GAIL (INDIA) LTD,GAIL SEP FUT,GAIL26SEP24F,2024-09-26,4575,0.01
NFO,nse_fo,GLENMARK,35535,FUTSTK,XX,-1,GLENMARK PHARMACEUTICALS,GLENMARK SEP FUT,GLENMARK26SEP24F,2024-09-26,725,0.05
NFO,nse_fo,GMRINFRA,35536,FUTSTK,XX,-1,GMR AIRPORTS INFRA LTD,GMRINFRA SEP FUT,GMRINFRA26SEP24F,2024-09-26,11250,0.01
NFO,nse_fo,GNFC,35537,FUTSTK,XX,-1,GUJ NAR VAL FER & CHEM L,GNFC SEP FUT,GNFC26SEP24F,2024-09-26,1300,0.05
NFO,nse_fo,GODREJCP,35539,FUTSTK,XX,-1,GODREJ CONSUMER PRODUCTS,GODREJCP SEP FUT,GODREJCP26SEP24F,2024-09-26,500,0.05
NFO,nse_fo,GODREJPROP,35540,FUTSTK,XX,-1,GODREJ PROPERTIES LTD,GODREJPROP SEP FUT,GODREJPROP26SEP24F,2024-09-26,225,0.05
NFO,nse_fo,GRANULES,35541,FUTSTK,XX,-1,GRANULES INDIA LIMITED,GRANULES SEP FUT,GRANULES26SEP24F,2024-09-26,2000,0.05
NFO,nse_fo,GRASIM,35542,FUTSTK,XX,-1,GRASIM INDUSTRIES LTD,GRASIM SEP FUT,GRASIM26SEP24F,2024-09-26,250,0.05
NFO,nse_fo,ADANIPORTS,35551,FUTSTK,XX,-1,ADANI PORT & SEZ LTD,ADANIPORTS AUG FUT,ADANIPORTS29AUG24F,2024-08-29,400,0.05
NFO,nse_fo,ALKEM,35552,FUTSTK,XX,-1,ALKEM LABORATORIES LTD.,ALKEM AUG FUT,ALKEM29AUG24F,2024-08-29,100,0.05
NFO,nse_fo,AMBUJACEM,35553,FUTSTK,XX,-1,AMBUJA CEMENTS LTD,AMBUJACEM AUG FUT,AMBUJACEM29AUG24F,2024-08-29,900,0.05
